Signal Legend:

Key        Signal Name

0        = GUI:GUI_Inst|CH1_Offset[0..8]
1        = GUI:GUI_Inst|Update_Signal_CLK
2        = GUI:GUI_Inst|Updating_Signal_Counter[0..19]
3        = GUI:GUI_Inst|CH1_Result[0..11]

Data Table:

Signals-> 0   1 2      3   

sample

-856      201 1 886313 264 
-855      201 1 886313 264 
-854      201 1 886313 264 
-853      201 1 886313 264 
-852      201 1 886313 264 
-851      201 1 886313 264 
-850      201 1 886313 264 
-849      201 1 886313 264 
-848      201 1 886313 264 
-847      201 1 886313 264 
-846      201 1 886313 264 
-845      201 1 886313 264 
-844      201 1 886313 264 
-843      201 1 886313 264 
-842      201 1 886313 264 
-841      201 1 886313 264 
-840      201 1 886313 264 
-839      201 1 886313 264 
-838      201 1 886313 264 
-837      201 1 886313 264 
-836      201 1 886313 264 
-835      201 1 886313 264 
-834      201 1 886313 264 
-833      201 1 886313 264 
-832      201 1 886313 264 
-831      201 1 886313 264 
-830      201 1 886313 264 
-829      201 1 886313 264 
-828      201 1 886313 264 
-827      201 1 886313 264 
-826      201 1 886313 264 
-825      201 1 886313 264 
-824      201 1 886313 264 
-823      201 1 886313 264 
-822      201 1 886313 264 
-821      201 1 886313 264 
-820      201 1 886313 264 
-819      201 1 886313 264 
-818      201 1 886313 264 
-817      201 1 886313 264 
-816      201 1 886313 264 
-815      201 1 886313 264 
-814      201 1 886313 264 
-813      201 1 886313 264 
-812      201 1 886313 264 
-811      201 1 886313 264 
-810      201 1 886313 264 
-809      201 1 886313 264 
-808      201 1 886313 264 
-807      201 1 886313 264 
-806      201 1 886313 264 
-805      201 1 886313 264 
-804      201 1 886313 264 
-803      201 1 886313 264 
-802      201 1 886313 264 
-801      201 1 886313 264 
-800      201 1 886313 264 
-799      201 1 886313 264 
-798      201 1 886313 264 
-797      201 1 886313 264 
-796      201 1 886313 264 
-795      201 1 886313 264 
-794      201 1 886313 264 
-793      201 1 886313 264 
-792      201 1 886313 264 
-791      201 1 886313 264 
-790      201 1 886313 264 
-789      201 1 886313 264 
-788      201 1 886313 264 
-787      201 1 886313 264 
-786      201 1 886313 264 
-785      201 1 886313 264 
-784      201 1 886313 264 
-783      201 1 886313 264 
-782      201 1 886313 264 
-781      201 1 886313 264 
-780      201 1 886313 264 
-779      201 1 886313 264 
-778      201 1 886313 264 
-777      201 1 886313 264 
-776      201 1 886313 264 
-775      201 1 886313 264 
-774      201 1 886313 264 
-773      201 1 886313 264 
-772      201 1 886313 264 
-771      201 1 886313 264 
-770      201 1 886313 264 
-769      201 1 886313 264 
-768      201 1 886313 264 
-767      201 1 886313 264 
-766      201 1 886313 264 
-765      201 1 886313 264 
-764      201 1 886313 264 
-763      201 1 886313 264 
-762      201 1 886313 264 
-761      201 1 886313 264 
-760      201 1 886313 264 
-759      201 1 886313 264 
-758      201 1 886313 264 
-757      201 1 886313 264 
-756      201 1 886313 264 
-755      201 1 886313 264 
-754      201 1 886313 264 
-753      201 1 886313 264 
-752      201 1 886313 264 
-751      201 1 886313 264 
-750      201 1 886313 264 
-749      201 1 886313 264 
-748      201 1 886313 264 
-747      201 1 886313 264 
-746      201 1 886313 264 
-745      201 1 886313 264 
-744      201 1 886313 264 
-743      201 1 886313 264 
-742      201 1 886313 264 
-741      201 1 886313 264 
-740      201 1 886313 264 
-739      201 1 886313 264 
-738      201 1 886313 264 
-737      201 1 886313 264 
-736      201 1 886313 264 
-735      201 1 886313 264 
-734      201 1 886313 264 
-733      201 1 886313 264 
-732      201 1 886313 264 
-731      201 1 886313 264 
-730      201 1 886313 264 
-729      201 1 886313 264 
-728      201 1 886313 264 
-727      201 1 886313 264 
-726      201 1 886313 264 
-725      201 1 886313 264 
-724      201 1 886313 264 
-723      201 1 886313 264 
-722      201 1 886313 264 
-721      201 1 886313 264 
-720      201 1 886313 264 
-719      201 1 886313 264 
-718      201 1 886313 264 
-717      201 1 886313 264 
-716      201 1 886313 264 
-715      201 1 886313 264 
-714      201 1 886313 264 
-713      201 1 886313 264 
-712      201 1 886313 264 
-711      201 1 886313 264 
-710      201 1 886313 264 
-709      201 1 886313 264 
-708      201 1 886313 264 
-707      201 1 886313 264 
-706      201 1 886313 264 
-705      201 1 886313 264 
-704      201 1 886313 264 
-703      201 1 886313 264 
-702      201 1 886313 264 
-701      201 1 886313 264 
-700      201 1 886313 264 
-699      201 1 886313 264 
-698      201 1 886313 264 
-697      201 1 886313 264 
-696      201 1 886313 264 
-695      201 1 886313 264 
-694      201 1 886313 264 
-693      201 1 886313 264 
-692      201 1 886313 264 
-691      201 1 886313 264 
-690      201 1 886313 264 
-689      201 1 886313 264 
-688      201 1 886313 264 
-687      201 1 886313 264 
-686      201 1 886313 264 
-685      201 1 886313 264 
-684      201 1 886313 264 
-683      201 1 886313 264 
-682      201 1 886313 264 
-681      201 1 886313 264 
-680      201 1 886313 264 
-679      201 1 886313 264 
-678      201 1 886313 264 
-677      201 1 886313 264 
-676      201 1 886313 264 
-675      201 1 886313 264 
-674      201 1 886313 264 
-673      201 1 886313 264 
-672      201 1 886313 264 
-671      201 1 886313 264 
-670      201 1 886313 264 
-669      201 1 886313 264 
-668      201 1 886313 264 
-667      201 1 886313 264 
-666      201 1 886313 264 
-665      201 1 886313 264 
-664      201 1 886313 264 
-663      201 1 886313 264 
-662      201 1 886313 264 
-661      201 1 886313 264 
-660      201 1 886313 264 
-659      201 1 886313 264 
-658      201 1 886313 264 
-657      201 1 886313 264 
-656      201 1 886313 264 
-655      201 1 886313 264 
-654      201 1 886313 264 
-653      201 1 886313 264 
-652      201 1 886313 262 
-651      201 1 886313 262 
-650      201 1 886313 262 
-649      201 1 886313 263 
-648      201 1 886313 263 
-647      201 1 886313 263 
-646      201 1 886313 263 
-645      201 1 886313 263 
-644      201 1 886313 263 
-643      201 1 886313 263 
-642      201 1 886313 263 
-641      201 1 886313 264 
-640      201 1 886313 264 
-639      201 1 886313 264 
-638      201 1 886313 264 
-637      201 1 886313 264 
-636      201 1 886313 264 
-635      201 1 886313 264 
-634      201 1 886313 264 
-633      201 1 886313 264 
-632      201 1 886313 264 
-631      201 1 886313 264 
-630      201 1 886313 264 
-629      201 1 886313 264 
-628      201 1 886313 264 
-627      201 1 886313 264 
-626      201 1 886313 264 
-625      201 1 886313 264 
-624      201 1 886313 264 
-623      201 1 886313 264 
-622      201 1 886313 264 
-621      201 1 886313 264 
-620      201 1 886313 264 
-619      201 1 886313 264 
-618      201 1 886313 264 
-617      201 1 886313 264 
-616      201 1 886313 264 
-615      201 1 886313 264 
-614      201 1 886313 264 
-613      201 1 886313 264 
-612      201 1 886313 264 
-611      201 1 886313 264 
-610      201 1 886313 264 
-609      201 1 886313 264 
-608      201 1 886313 264 
-607      201 1 886313 264 
-606      201 1 886313 264 
-605      201 1 886313 264 
-604      201 1 886313 264 
-603      201 1 886313 264 
-602      201 1 886313 264 
-601      201 1 886313 264 
-600      201 1 886313 264 
-599      201 1 886313 263 
-598      201 1 886313 263 
-597      201 1 886313 263 
-596      201 1 886313 263 
-595      201 1 886313 263 
-594      201 1 886313 263 
-593      201 1 886313 263 
-592      201 1 886313 263 
-591      201 1 886313 262 
-590      201 1 886313 262 
-589      201 1 886313 262 
-588      201 1 886313 262 
-587      201 1 886313 262 
-586      201 1 886313 262 
-585      201 1 886313 262 
-584      201 1 886313 261 
-583      201 1 886313 261 
-582      201 1 886313 261 
-581      201 1 886313 261 
-580      201 1 886313 261 
-579      201 1 886313 260 
-578      201 1 886313 260 
-577      201 1 886313 260 
-576      201 1 886313 260 
-575      201 1 886313 260 
-574      201 1 886313 259 
-573      201 1 886313 259 
-572      201 1 886313 259 
-571      201 1 886313 259 
-570      201 1 886313 259 
-569      201 1 886313 258 
-568      201 1 886313 258 
-567      201 1 886313 258 
-566      201 1 886313 258 
-565      201 1 886313 257 
-564      201 1 886313 257 
-563      201 1 886313 257 
-562      201 1 886313 257 
-561      201 1 886313 256 
-560      201 1 886313 256 
-559      201 1 886313 256 
-558      201 1 886313 256 
-557      201 1 886313 255 
-556      201 1 886313 255 
-555      201 1 886313 255 
-554      201 1 886313 255 
-553      201 1 886313 254 
-552      201 1 886313 254 
-551      201 1 886313 254 
-550      201 1 886313 253 
-549      201 1 886313 253 
-548      201 1 886313 253 
-547      201 1 886313 252 
-546      201 1 886313 252 
-545      201 1 886313 252 
-544      201 1 886313 252 
-543      201 1 886313 251 
-542      201 1 886313 251 
-541      201 1 886313 251 
-540      201 1 886313 250 
-539      201 1 886313 250 
-538      201 1 886313 250 
-537      201 1 886313 249 
-536      201 1 886313 249 
-535      201 1 886313 249 
-534      201 1 886313 248 
-533      201 1 886313 248 
-532      201 1 886313 248 
-531      201 1 886313 247 
-530      201 1 886313 247 
